layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.037841796875,0.0235595703125,0.0029296875,0.04443359375,-0.00958251953125,-0.0338134765625,0.0146484375,4,101,64,56,73,0.001953125,76,0.00714111328125,-0.009765625,0.0245361328125,0.4296,0.017252604166666668,-0.003259277343750001,0.039713541666666664,-0.010111490885416668,-0.7452229299363057,,
1,0.0166015625,0.013916015625,-0.009765625,0.037353515625,-0.00384521484375,-0.029304504394531247,0.02154541015625,6,108,64,125,64,-0.00439453125,48,-0.00830078125,-0.021484375,0.00390625,0.2409,0.00872802734375,-0.012003580729166666,0.03200429280598956,-0.017028808593750003,2.1587301587301586,-12.632456140350877,7.004999999999927
2,0.03759765625,0.02001953125,-0.00439453125,0.0439453125,-0.02239990234375,-0.0517578125,0.007814025878906228,4,128,64,96,124,0.01953125,119,-0.0191650390625,-0.0484619140625,0.006106567382812456,0.1757,-0.005737304687499999,-0.024089558919270834,0.012654622395833334,-0.013427734375,0.8555858310626703,-3.847191011235955,6.114327122153208
3,0.0283203125,0.0206298828125,-0.0029296875,0.04345703125,0.00494384765625,-0.02581939697265625,0.03662109375,2,102,64,43,81,0.005615234375,82,-0.0068359375,-0.0244140625,0.0107421875,0.4844,-0.002888997395833334,-0.0294189453125,0.021932983398437488,-0.003946940104166663,-1.382716049382716,,
4,0.06396484375,0.030029296875,-0.013671875,0.07373046875,-0.02752685546875,-0.072265625,0.01593017578125,6,128,64,3,128,0.0224609375,127,0.00335693359375,-0.0380859375,0.0472412109375,0.9011,0.004231770833333334,-0.02685546875,0.03694661458333333,-0.0008748372395833339,-0.12195121951219512,-8.36525974025974,10.073777173913024
5,0.03369140625,0.0338134765625,-0.000735473632812499,0.06836242675781246,0.00872802734375,-0.0274658203125,0.047862243652343595,4,109,64,50,79,0.004150390625,77,-0.00537109375,-0.0283203125,0.0185546875,0.6909,-0.006286621093750003,-0.03499603271484375,0.01802673339843748,0.0009155273437499983,-0.6153846153846154,-5.9546511627906975,7.680307692307688
6,0.031494140625,0.03387451171875,0.00634765625,0.06298828125,-0.000732421875,-0.02490234375,0.02392578125,3,95,64,40,95,0.0087890625,97,-0.0078125,-0.0302734375,0.0146484375,0.5405,-0.020060221354166664,-0.04012247721354167,-0.0004862467447916941,0.012247721354166664,10.666666666666666,,
7,0.02099609375,0.02703857421875,0.00018310546875,0.0555419921875,-0.00506591796875,-0.03045654296875,0.0196533203125,2,81,64,30,64,-0.0029296875,57,-0.00244140625,-0.02099609375,0.01611328125,0.8418,-0.003946940104166665,-0.023196411132812497,0.015503946940104152,0.001505533854166667,0.4819277108433735,,
8,0.044921875,-0.0009765625,-0.02392578125,0.021484375,0.011474609375,-0.0107421875,0.03564453125,3,115,64,1,105,0.00830078125,109,0.0006103515625,-0.02001953125,0.02197265625,0.9595,-0.009155273437499998,-0.030152384440104162,0.010579427083333334,0.009765625000000003,0.05319148936170213,-6.360714285714284,7.502499999999964
9,0.01953125,0.0338134765625,0.005615234375,0.06201171875,0.024169921875,0.0,0.04810180664062491,7,98,64,3,98,0.010009765625,97,0.000732421875,-0.01904296875,0.019287109375,0.9588,-0.013305664062499998,-0.031534830729166664,0.004272460937500001,0.014038085937499998,0.030303030303030304,-2.111111111111111,1.1667857142857125
