layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
0,0.156982421875,0.336181640625,0.17429809570312502,0.5295593261718747,0.353515625,0.18552246093750002,0.55908203125,0,60,64,,,,,,,,,,,,,,,
1,0.191162109375,0.2626953125,0.13720703125,0.4150512695312498,0.27001953125,0.14157714843750002,0.4292114257812498,2,67,64,110.0,67.0,0.005859375,69.0,0.001220703125,-0.015869140625,0.01806640625,-0.03125,-0.06591796875,0.0017903645833333304,0.032470703125,0.909,0.0045207956600361665,-0.06726229277042707,0.07730620709382147
2,0.22119140625,0.19921875,0.1005859375,0.3051879882812498,0.193115234375,0.100091552734375,0.2929748535156249,3,124,64,26.0,124.0,0.01513671875,119.0,0.040283203125,-0.004150390625,0.088623046875,0.012695312499999998,-0.02685953776041667,0.05452880859374994,0.027587890625,0.0813,0.20859671302149177,-0.029685137331016263,0.4054989824915946
3,0.08056640625,0.147705078125,0.044909667968750004,0.2651428222656249,0.12744140625,0.0322265625,0.23585205078124982,1,75,64,44.0,75.0,0.0146484375,62.0,0.019775390625,-0.009765625,0.05664672851562491,-0.011149088541666666,-0.06486206054687499,0.03955078124999999,0.030924479166666664,0.2947,0.15517241379310345,-0.1111519607843137,0.7092667373687929
4,0.06005859375,0.17626953125,0.07568359375,0.2876098632812498,0.16162109375,0.060534667968750004,0.2734375,5,115,64,3.0,84.0,0.02880859375,88.0,0.01513671875,-0.02392578125,0.056640625,0.0008951822916666696,-0.04077351888020833,0.0393086751302083,0.014241536458333336,0.499,0.09365558912386707,-0.2559181304260044,0.32052292263610305
5,0.04150390625,0.1640625,0.0849609375,0.24755859375,0.1484375,0.06590576171875001,0.23779296875,3,97,64,127.0,86.0,0.017578125,75.0,0.00341796875,-0.02197265625,0.03125,-0.0244140625,-0.058268229166666664,0.009114583333333332,0.027832031249999997,0.8349,0.023026315789473683,-0.19299660441426145,0.22009788859136997
6,-0.009765625,-0.0048828125,-0.0732421875,0.06298828125,-0.004150390625,-0.072265625,0.057861328125,4,74,64,113.0,74.0,0.02392578125,62.0,-0.00048828125,-0.02490234375,0.0224609375,0.0017089843750000013,-0.026369222005208335,0.02840372721354164,-0.0021972656250000017,1.0,0.11764705882352941,-4.401538461538461,3.667105263157888
7,-0.00439453125,0.00390625,-0.037109375,0.04541015625,-0.0224609375,-0.08837890625,0.03272705078124982,2,80,64,105.0,80.0,0.00830078125,78.0,0.00927734375,-0.02783203125,0.05126953125,0.0020345052083333313,-0.022790527343750002,0.028727213541666664,0.007242838541666667,0.6758,-0.41304347826086957,-8.430357142857142,8.200882352941163
8,-0.01904296875,0.02685546875,-0.02685546875,0.08399658203124982,0.02490234375,-0.02099609375,0.0712890625,2,97,64,7.0,97.0,0.01220703125,90.0,0.009033203125,-0.021484375,0.03955078125,0.0039876302083333304,-0.021565755208333332,0.031168619791666664,0.0050455729166666696,0.5931,0.3627450980392157,-4.50125,5.0011363636363475
9,0.046875,0.048828125,-0.0068359375,0.10546875,0.060302734375,0.01611328125,0.108642578125,4,101,64,3.0,101.0,0.02294921875,95.0,0.0341796875,0.00244140625,0.06689453125,0.02042643229166667,-0.0185546875,0.05851236979166667,0.01375325520833333,0.0406,0.5668016194331984,0.03400199514226235,1.7779279279279256
