layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.0,0.005615234375,-0.034185791015624994,0.045654296875,-0.01318359375,-0.059582519531249996,0.033203125,1,64,64,36.0,64.0,0.0224609375,65.0,0.00537109375,-0.01171875,0.02392578125,0.5968,-0.0009765625000000017,-0.0224609375,0.021813964843749943,0.0063476562499999965,-0.4074074074074074,-4.601666666666666,6.337499999999939
1,0.02392578125,0.0458984375,-0.01904296875,0.115234375,0.048095703125,-0.0205078125,0.12158203125,5,96,64,81.0,94.0,0.05517578125,96.0,0.03759765625,0.00341796875,0.07373046875,0.039,0.03776041666666667,-0.00016276041666666788,0.078125,-0.00016276041666666782,0.7817258883248731,-4.321090909090909,5.647549019607836
2,0.0166015625,0.047119140625,0.002191162109375002,0.09277954101562491,0.010986328125,-0.039306640625,0.06128540039062491,4,126,64,26.0,126.0,0.08447265625,125.0,-0.0009765625,-0.05712890625,0.05322265625,0.9848,-0.0062662760416666696,-0.05631510416666667,0.04150390625,0.005289713541666669,-0.08888888888888889,-8.942647058823528,10.924999999999972
3,0.04248046875,0.056640625,-0.0087890625,0.1240234375,0.034912109375,-0.02978515625,0.106689453125,3,90,64,57.0,90.0,0.06787109375,98.0,0.0087890625,-0.03125,0.0576171875,0.7461,0.007975260416666666,-0.03141276041666666,0.05126953125,0.0008138020833333339,0.2517482517482518,-3.944285714285714,4.143452380952373
4,0.056640625,0.0380859375,-0.010754394531249996,0.087890625,0.01171875,-0.04296875,0.068359375,5,113,64,84.0,106.0,0.03466796875,102.0,-0.01171875,-0.041015625,0.01806640625,0.4732,-0.013183593749999998,-0.04248046875,0.017749023437499886,0.0014648437499999965,-1.0,,
5,-0.005859375,0.022705078125,-0.028570556640624998,0.07568359375,-0.00634765625,-0.06446533203124999,0.0546875,2,84,64,14.0,84.0,0.046875,79.0,0.00634765625,-0.02734375,0.04296875,0.7689,0.0047200520833333304,-0.026045735677083338,0.034997558593749936,0.0016276041666666678,-1.0,-6.626682692307692,7.333333333333333
6,0.0087890625,0.0439453125,0.00244140625,0.087890625,0.00244140625,-0.048828125,0.0537109375,2,82,64,40.0,82.0,0.025390625,81.0,0.00244140625,-0.029309082031249996,0.0380859375,0.9232,0.024251302083333332,-0.010253906250000002,0.06332194010416656,-0.02180989583333333,1.0,,
7,0.0166015625,-0.00341796875,-0.08544921875,0.05615234375,-0.015625,-0.064453125,0.03125,1,65,64,55.0,65.0,-0.00390625,70.0,-0.02783203125,-0.0517578125,-0.0068359375,0.0137,0.0022786458333333313,-0.02604573567708333,0.031901041666666664,-0.030110677083333332,1.78125,-13.66875,13.20124999999998
8,-0.005859375,0.0234375,-0.01123046875,0.0595703125,-0.02783203125,-0.0732421875,0.01904296875,1,83,64,7.0,83.0,-0.00341796875,87.0,-0.015625,-0.04443359375,0.01318359375,0.3174,0.0004882812500000052,-0.030110677083333332,0.03141276041666666,-0.016113281249999997,0.5614035087719298,-3.2520833333333328,4.187812499999995
9,0.04150390625,0.017333984375,-0.022705078125,0.05810546875,0.036376953125,-0.014654541015624998,0.08814086914062491,3,99,64,30.0,99.0,0.03125,97.0,0.01220703125,-0.022961425781249996,0.04541015625,0.5022,0.004394531250000003,-0.020345052083333332,0.030110677083333336,0.007812499999999998,0.33557046979865773,-2.1055727554179566,2.9420915032679607
10,0.0283203125,0.0576171875,0.01123046875,0.1064453125,0.051513671875,0.006097412109375002,0.09692993164062491,2,96,64,106.0,96.0,0.03759765625,101.0,0.01220703125,-0.02587890625,0.05078125,0.5652,0.007242838541666668,-0.030680338541666664,0.04516601562499999,0.004964192708333332,0.23696682464454977,-1.1852015732546706,1.3831481481481418
11,-0.0009765625,0.0615234375,0.005859375,0.119140625,0.04638671875,-0.02197265625,0.1123046875,3,77,64,64.0,77.0,-0.00390625,75.0,0.0087890625,-0.015625,0.029296875,0.4845,0.0017903645833333304,-0.0234375,0.028161621093749943,0.006998697916666668,0.18947368421052632,-1.4169642857142857,1.6368338557993662
12,-0.00341796875,0.01416015625,-0.0234375,0.0517578125,-0.004150390625,-0.052734375,0.040283203125,3,74,64,101.0,74.0,0.00830078125,75.0,-0.016845703125,-0.034674072265624994,-0.000244140625,0.0705,-0.0021972656250000026,-0.023518880208333336,0.018636067708333336,-0.014648437500000002,4.0588235294117645,-11.5,9.0
13,0.044921875,0.051025390625,-0.009283447265624998,0.11279296875,0.017822265625,-0.047607421875,0.08008422851562491,4,104,64,94.0,95.0,0.02294921875,105.0,0.019775390625,-0.01123046875,0.05029296875,0.2235,0.021809895833333332,-0.010746256510416665,0.053873697916666664,-0.002034505208333332,1.1095890410958904,-6.333333333333333,9.167261904761896
14,0.017578125,0.03466796875,-0.002453613281249996,0.07421875,-0.010498046875,-0.048828125,0.027355957031249822,1,82,64,106.0,82.0,0.00927734375,90.0,0.008544921875,-0.01708984375,0.0341796875,0.5287,0.00146484375,-0.022135416666666664,0.026041666666666668,0.007080078125,-0.813953488372093,-10.6,10.609999999999854
15,-0.02490234375,0.047119140625,-0.00439453125,0.099609375,0.044677734375,-0.01220703125,0.107177734375,2,75,64,114.0,74.0,0.0078125,75.0,0.0029296875,-0.036633300781249996,0.04052734375,0.9073,-0.009358723958333332,-0.04590047200520833,0.025472005208333332,0.012288411458333336,0.06557377049180328,-3.800348837209302,2.533333333333333
16,-0.02978515625,-0.001708984375,-0.06103515625,0.05859375,0.031005859375,-0.03759765625,0.09766235351562491,2,73,64,120.0,73.0,0.00634765625,70.0,0.009033203125,-0.007818603515624998,0.026611328125,0.3368,-0.010660807291666666,-0.03621419270833333,0.013834635416666668,0.019694010416666664,0.29133858267716534,-2.636833855799373,3.0911363636363602
17,-0.0234375,-0.01953125,-0.09620361328124999,0.05322265625,-0.040771484375,-0.12819824218749998,0.041748046875,3,117,64,25.0,93.0,0.00244140625,92.0,0.013671875,-0.0107421875,0.04053955078124982,0.3238,0.01513671875,-0.012369791666666663,0.04475911458333333,-0.0014648437499999987,-0.33532934131736525,-4.304633867276888,3.52
18,0.01123046875,0.034912109375,-0.0087890625,0.07959594726562491,0.015625,-0.03125,0.0615234375,1,68,64,5.0,68.0,-0.00146484375,69.0,-0.0029296875,-0.0234375,0.01708984375,0.8121,0.0030924479166666683,-0.027673339843750002,0.031901041666666664,-0.006022135416666668,-0.1875,,
19,0.0146484375,-0.02197265625,-0.078125,0.03173828125,-0.014404296875,-0.0712890625,0.03931274414062491,0,60,64,,,,,,,,,,,,,,,
20,-0.015625,0.01123046875,-0.039562988281249996,0.0615234375,-0.033203125,-0.08642578125,0.017590332031249822,0,62,64,,,,,,,,,,,,,,,
21,0.0068359375,0.05712890625,0.015625,0.1005859375,0.060546875,0.017578125,0.10499267578124982,2,85,64,121.0,74.0,0.01708984375,70.0,0.0087890625,-0.01025390625,0.029296875,0.4129,0.007080078124999998,-0.018229166666666664,0.03206380208333333,0.0017089843749999974,0.14516129032258066,-0.2162371673999581,0.6986968510941104
22,0.0615234375,0.05419921875,0.00341796875,0.10498046875,0.06591796875,0.015612792968750004,0.11719970703124982,3,92,64,106.0,92.0,0.05078125,92.0,0.029296875,-0.0048828125,0.06495361328124982,0.1123,0.022542317708333332,-0.015057373046875,0.06111857096354163,0.006754557291666667,0.4444444444444444,-0.15040503134413413,1.282436974789915
23,-0.0087890625,0.005859375,-0.04541015625,0.0576171875,0.017578125,-0.033703613281249996,0.0703125,2,71,64,106.0,69.0,-0.00048828125,70.0,0.0224609375,-0.00048828125,0.04931640625,0.0876,0.006510416666666664,-0.016764322916666664,0.03222656249999999,0.01595052083333333,1.2777777777777777,-9.0,10.5
24,0.01416015625,0.017333984375,-0.03125,0.06689453125,0.00146484375,-0.0400390625,0.04541015625,1,70,64,86.0,70.0,0.01806640625,69.0,-0.00634765625,-0.02685546875,0.0126953125,0.5771,-0.018554687499999997,-0.043131510416666664,0.005533854166666666,0.012207031249999998,-4.333333333333333,-9.0,6.0
25,0.0595703125,0.03515625,-0.03515625,0.10888671875,0.052734375,-0.03466796875,0.138671875,3,90,64,48.0,90.0,0.02197265625,94.0,0.0185546875,-0.02001953125,0.0615234375,0.3897,0.014160156249999997,-0.021000162760416666,0.05013020833333333,0.004394531250000002,0.35185185185185186,,
26,-0.05078125,0.008056640625,-0.034429931640624994,0.0498046875,-0.021484375,-0.07177734375,0.0244140625,4,95,64,56.0,69.0,0.0029296875,64.0,-0.01220703125,-0.03173828125,0.00732421875,0.2466,-0.027018229166666664,-0.05062255859375,-0.003906250000000002,0.014811197916666664,0.5681818181818182,-4.801874999999999,5.004166666666606
27,-0.02490234375,0.079833984375,0.0087890625,0.156982421875,0.044921875,-0.02392578125,0.11768798828124982,1,84,64,43.0,84.0,-0.025390625,86.0,-0.03271484375,-0.060546875,-0.0068359375,0.0241,-0.038248697916666664,-0.07828776041666666,-3.382710778156036e-18,0.005533854166666666,-0.7282608695652174,-8.16875,8.4
28,-0.05810546875,-0.001708984375,-0.055426025390624994,0.052490234375,-0.0341796875,-0.08984375,0.021484375,3,79,64,38.0,76.0,-0.001953125,75.0,-0.03662109375,-0.064453125,-0.01171875,0.0058,-0.034993489583333336,-0.06608479817708333,-0.007157389322916721,-0.0016276041666666644,1.0714285714285714,-10.674999999999997,10.572142857142847
29,-0.02685546875,0.0126953125,-0.05419921875,0.0810546875,-0.005859375,-0.07568359375,0.06298828125,3,118,64,25.0,96.0,0.0009765625,96.0,-0.0107421875,-0.03564453125,0.01220703125,0.4255,-0.003906249999999999,-0.03141276041666667,0.0224609375,-0.006835937500000001,1.8333333333333333,-6.0,6.0
30,-0.05419921875,0.01611328125,-0.0361328125,0.0712890625,0.0048828125,-0.04931640625,0.06494140625,2,86,64,5.0,86.0,-0.01416015625,83.0,0.005859375,-0.0185546875,0.029309082031249822,0.6589,0.009277343750000002,-0.017740885416666664,0.03564453125,-0.0034179687500000026,1.2,-6.5,6.16874999999997
31,-0.05810546875,0.042724609375,-0.00634765625,0.092041015625,0.02001953125,-0.03466796875,0.07470703125,3,78,64,55.0,66.0,0.0,71.0,0.00390625,-0.0126953125,0.0205078125,0.6811,0.006184895833333337,-0.016764322916666664,0.028649902343749943,-0.002278645833333334,0.1951219512195122,,
32,0.044921875,0.091796875,0.04638671875,0.13818359375,0.0654296875,0.0205078125,0.10986328125,3,74,64,97.0,71.0,0.01904296875,72.0,0.048828125,0.0263671875,0.07275390625,0.0,0.05045572916666667,0.024251302083333336,0.07894287109374995,-0.0016276041666666678,0.746268656716418,0.35747929606625256,2.307777777777776
33,-0.01171875,0.0,-0.06251220703124999,0.06300048828124982,-0.033203125,-0.09375,0.02734375,5,91,64,3.0,91.0,0.00244140625,88.0,-0.01611328125,-0.038098144531249996,0.00537109375,0.1666,-0.009114583333333336,-0.037438964843750006,0.018880208333333332,-0.006998697916666668,0.4852941176470588,-4.1675,4.6316985645933
34,0.14013671875,0.105712890625,0.034912109375,0.177978515625,0.068359375,-0.00244140625,0.13721923828124982,5,93,64,106.0,93.0,0.08203125,92.0,0.0859375,0.037109375,0.13720703125,0.0009,0.09049479166666666,0.038891601562499996,0.14095458984374995,-0.004557291666666666,1.2571428571428571,-1.3333333333333333,6.81033834586465
35,0.0654296875,0.103759765625,0.047357177734375006,0.1621154785156249,0.06640625,0.011706542968750004,0.12257080078124982,4,100,64,106.0,68.0,0.01123046875,71.0,0.01806640625,0.0009765625,0.03662109375,0.0552,0.016438802083333336,-0.007161458333333331,0.04036458333333333,0.001627604166666664,0.27205882352941174,-0.025669642857142846,1.0380424528301841
36,0.06201171875,0.0849609375,0.0322265625,0.13916015625,0.052001953125,0.003662109375,0.09961547851562491,2,85,64,88.0,85.0,0.01806640625,89.0,-0.003173828125,-0.0283203125,0.023681640625,0.8203,-0.003906249999999999,-0.02864583333333333,0.02327473958333333,0.0007324218750000005,-0.06103286384976526,-1.582137592137592,0.48369588062210883
37,0.18896484375,0.2197265625,0.14453125,0.29248046875,0.193115234375,0.125970458984375,0.26171875,5,113,64,48.0,93.0,0.068359375,101.0,0.06982421875,0.03369140625,0.107421875,0.0007,0.05615234375000001,0.018391927083333336,0.09309895833333331,0.013671874999999998,0.3615676359039191,0.20516287340228864,0.5280252560405687
38,0.0859375,0.12646484375,0.060546875,0.19873046875,0.07275390625,0.006335449218750004,0.1484375,3,120,64,106.0,120.0,0.07666015625,120.0,0.08056640625,0.03076171875,0.12939453125,0.0022,0.09505208333333334,0.045568847656249994,0.14486083984374995,-0.014485677083333332,1.1073825503355705,0.3952151162790698,4.538709677419351
39,0.14501953125,0.111572265625,0.018548583984375002,0.2028869628906249,0.07958984375,-0.00244140625,0.1591796875,5,91,64,114.0,84.0,0.06787109375,82.0,0.05029296875,0.02734375,0.0751953125,0.0001,0.04052734375,0.010416666666666664,0.07194417317708328,0.009765625000000002,0.6319018404907976,-1.9135076252723306,4.077083333333331
40,0.20654296875,0.190185546875,0.117181396484375,0.26123046875,0.173828125,0.09764404296875001,0.25048828125,3,109,64,38.0,109.0,0.0673828125,104.0,0.03515625,-1.2207031249995837e-05,0.0712890625,0.0622,0.028401692708333325,-0.00683797200520833,0.06526692708333333,0.006754557291666666,0.20224719101123595,-6.510416666664445e-05,0.3992109339935427
41,0.19580078125,0.158203125,0.087890625,0.228515625,0.12939453125,0.0625,0.19727783203124982,5,125,64,43.0,111.0,0.080078125,113.0,0.048828125,0.0078125,0.0888671875,0.023,0.04313151041666667,-0.00032552083333333223,0.08447672526041661,0.005696614583333333,0.37735849056603776,0.07083017676767676,0.7474342105263149
42,0.55126953125,0.44091796875,0.32469482421875,0.56640625,0.422119140625,0.31201171875,0.5439514160156249,3,127,64,44.0,96.0,0.203125,97.0,0.125,0.078125,0.17578125,0.0,0.08951822916666667,0.041662597656249994,0.13899739583333331,0.03548177083333333,0.29612492770387505,0.20115590579149367,0.399285714285714
43,0.06005859375,0.121826171875,0.0419921875,0.2055725097656249,0.106689453125,0.03369140625,0.177734375,2,109,64,84.0,109.0,0.0673828125,110.0,0.096435546875,0.0537109375,0.1396484375,0.0001,0.08439127604166666,0.03808390299479167,0.12996622721354162,0.012044270833333334,0.9038901601830663,0.5406677905314393,2.141346153846149
44,0.126953125,0.13916015625,0.08349609375,0.19677734375,0.133544921875,0.080078125,0.1914123535156249,3,118,64,32.0,91.0,0.09228515625,89.0,0.081298828125,0.0390625,0.139892578125,0.0,0.073974609375,0.027178955078125004,0.13761596679687493,0.00732421875,0.6087751371115173,0.3307236852242785,0.9550258503035478
45,0.0478515625,0.044921875,-0.0224609375,0.11622314453124982,0.018798828125,-0.04345703125,0.08350830078124982,2,127,64,14.0,127.0,0.04052734375,127.0,-0.001220703125,-0.05908203125,0.05908813476562491,0.9767,-0.007405598958333329,-0.061444091796875,0.05094401041666667,0.006184895833333334,-0.06493506493506493,-8.5,7.7164285714285406
46,0.1904296875,0.10305213928222656,0.04299354553222656,0.16530799865722656,0.05316162109375,-0.013009643554687497,0.11767578125,1,100,64,85.0,100.0,0.03173828125,93.0,0.0078887939453125,-0.03776741027832031,0.053306961059570196,0.7425,0.012934366861979171,-0.031097539265950522,0.05598843892415359,-0.005045572916666668,0.1483926521239954,-2.654826019503546,2.613214630742807
47,0.919677734375,1.053802490234375,0.8356559753417969,1.2773460388183593,1.05010986328125,0.8357528686523438,1.2744262695312498,5,101,64,25.0,101.0,0.20751953125,104.0,0.1875,0.14305419921875,0.23341064453124982,0.0,0.154052734375,0.09838460286458334,0.20947265625,0.033447265625,0.1785527462946818,0.1377047148047364,0.22614403257730842
