pair,n categories,categories
L2E026,6,"S1, S2, S3, R1, R2, R3"
L4E084,6,"S1, S2, S3, R1, R2, R3"
L17E023,6,"S1, S2, S3, R1, R2, R3"
L17E025,6,"S1, S2, S3, R1, R2, R3"
L29E023,6,"S1, S2, S3, R1, R2, R3"
L41E023,6,"S1, S2, S3, R1, R2, R3"
L8E007,5,"S1, S3, R1, R2, R3"
L43E086,5,"S1, S2, R1, R2, R3"
L44E091,5,"S1, S2, S3, R1, R2"
L45E014,5,"S1, S2, S3, R1, R2"
L8E038,4,"S1, S2, R1, R3"
L20E038,4,"S1, S2, R1, R3"
L29E025,4,"S1, S2, R1, R2"
L37E046,4,"S1, S2, S3, R2"
L45E001,4,"S1, S2, R1, R2"
L2E096,3,"S1, S3, R2"
L4E036,3,"S1, S3, R2"
L9E075,3,"S2, S3, R2"
L12E101,3,"S1, S3, R2"
L13E046,3,"S1, S2, R3"
L16E038,3,"S2, R1, R2"
L22E106,3,"S1, S3, R2"
L23E035,3,"S1, S3, R2"
L26E065,3,"S2, R1, R2"
L28E038,3,"S2, R1, R2"
L28E120,3,"S1, R1, R3"
L31E055,3,"S1, S3, R2"
L31E057,3,"S1, R1, R2"
L33E003,3,"S1, R1, R2"
L34E044,3,"S2, R1, R2"
L34E079,3,"S2, R1, R2"
L34E106,3,"S1, S3, R2"
L35E035,3,"S1, S3, R2"
L35E093,3,"R1, R2, R3"
L36E088,3,"S1, S2, R2"
L37E022,3,"S3, R1, R2"
L38E056,3,"S2, R1, R2"
L38E106,3,"S1, S3, R2"
L39E065,3,"S1, S3, R2"
L40E038,3,"S1, S2, R1"
