pair,n categories,categories
L0E005,3,"S1, S2, S3"
L2E004,3,"S1, S3, R3"
L5E006,3,"S2, R2, R3"
L7E007,3,"S1, S3, R2"
L11E000,3,"R1, R2, R3"
L12E006,3,"R1, R2, R3"
L14E003,3,"S1, S3, R2"
L15E007,3,"S1, S3, R2"
L16E002,3,"S1, S3, R2"
L26E001,3,"S1, S3, R2"
L30E001,3,"S2, R1, R2"
L31E006,3,"S2, R1, R2"
L0E006,2,"S2, R2"
L0E007,2,"S3, R2"
L1E004,2,"S2, R3"
L2E003,2,"S2, R2"
L3E001,2,"S1, S3"
L3E005,2,"R1, R2"
L5E005,2,"S1, S3"
L6E006,2,"S1, S3"
L7E003,2,"S3, R3"
L8E003,2,"S1, S3"
L8E005,2,"R2, R3"
L9E001,2,"R2, R3"
L10E001,2,"S1, S3"
L10E002,2,"S2, R2"
L10E003,2,"S1, S3"
L10E004,2,"R1, R3"
L10E007,2,"R1, R3"
L11E001,2,"R1, R3"
L11E002,2,"S1, S3"
L12E000,2,"S1, R2"
L12E004,2,"S1, S3"
L12E005,2,"S2, R2"
L13E006,2,"S3, R1"
L14E000,2,"S1, S2"
L14E001,2,"R1, R2"
L15E006,2,"R1, R3"
L16E006,2,"R2, R3"
L17E005,2,"S1, S3"
