model,set,layer,disc_mean,val_mean,ci_lo,ci_hi,pos_frac
mixtral,paper,0,0.00537109375,-0.00341796875,-0.02001953125,0.01318359375,0.1953125
mixtral,paper,1,0.00244140625,-0.01318359375,-0.03271484375,0.0068359375,0.21875
mixtral,paper,2,-0.001953125,-0.00732421875,-0.0283203125,0.01318359375,0.265625
mixtral,paper,3,0.0166015625,0.0234375,-0.0048828125,0.0517578125,0.359375
mixtral,paper,4,0.0380859375,0.0244140625,-0.013684082031249996,0.06494140625,0.390625
mixtral,paper,5,0.0537109375,0.04150390625,-0.001953125,0.087890625,0.3984375
mixtral,paper,6,0.0439453125,0.02880859375,-0.0126953125,0.07178955078124982,0.359375
mixtral,paper,7,0.04052734375,0.04833984375,0.0048828125,0.09229736328124982,0.40625
mixtral,paper,8,0.015625,0.00439453125,-0.0419921875,0.0498046875,0.4375
mixtral,paper,9,0.01123046875,-0.00390625,-0.04296875,0.03515625,0.3203125
mixtral,paper,10,0.0244140625,0.01025390625,-0.0224609375,0.04248046875,0.390625
mixtral,paper,11,-0.0029296875,0.01123046875,-0.0224609375,0.044921875,0.328125
mixtral,paper,12,-0.01025390625,-0.0126953125,-0.05078125,0.02587890625,0.3046875
mixtral,paper,13,0.017578125,-0.01904296875,-0.0615234375,0.02197265625,0.359375
mixtral,paper,14,0.02490234375,0.0478515625,0.009765625,0.0869140625,0.4453125
mixtral,paper,15,0.0888671875,0.111328125,0.05859375,0.16455078125,0.5390625
mixtral,paper,16,0.11328125,0.068359375,0.022448730468750004,0.1171875,0.484375
mixtral,paper,17,0.12353515625,0.1494140625,0.09521484375,0.20556640625,0.625
mixtral,paper,18,0.2861328125,0.30810546875,0.23193359375,0.3906372070312498,0.6484375
mixtral,paper,19,0.6240234375,0.5712890625,0.4609375,0.6924194335937495,0.8046875
mixtral,paper,20,0.4521484375,0.49755859375,0.38719482421875,0.61962890625,0.7421875
mixtral,paper,21,0.48486328125,0.48681640625,0.38670654296875,0.59375,0.765625
mixtral,paper,22,0.31005859375,0.3125,0.2353515625,0.40234375,0.7265625
mixtral,paper,23,0.2548828125,0.28466796875,0.220703125,0.3510864257812498,0.7421875
mixtral,paper,24,0.0712890625,0.17236328125,0.0859375,0.2627075195312498,0.5234375
mixtral,paper,25,0.17041015625,0.236328125,0.150390625,0.3271484375,0.59375
mixtral,paper,26,0.162109375,0.14990234375,0.08544921875,0.21875,0.5546875
mixtral,paper,27,0.0888671875,0.17626953125,0.08544921875,0.2744140625,0.5546875
mixtral,paper,28,0.228515625,0.18603515625,0.08349609375,0.29541015625,0.5234375
mixtral,paper,29,0.01904296875,-0.109375,-0.20458984375,-0.02099609375,0.3515625
mixtral,paper,30,-0.03466796875,-0.19970703125,-0.28858642578125,-0.1123046875,0.2734375
mixtral,paper,31,-0.04443359375,-0.1318359375,-0.24560546875,-0.00830078125,0.375
mixtral,strict,0,0.0029296875,-0.00048828125,-0.0166015625,0.015625,0.171875
mixtral,strict,1,0.01171875,-0.0126953125,-0.03173828125,0.005859375,0.1875
mixtral,strict,2,-0.0078125,0.00244140625,-0.0205078125,0.024914550781249822,0.2578125
mixtral,strict,3,0.02490234375,0.01611328125,-0.00830078125,0.0419921875,0.2734375
mixtral,strict,4,0.033203125,0.025390625,-0.0087890625,0.0595703125,0.3359375
mixtral,strict,5,0.0322265625,0.0703125,0.0302734375,0.11280517578124982,0.40625
mixtral,strict,6,0.033203125,0.0439453125,0.00830078125,0.08106689453124982,0.3828125
mixtral,strict,7,0.0595703125,0.03515625,-0.00244140625,0.07421875,0.390625
mixtral,strict,8,0.01416015625,0.01416015625,-0.02880859375,0.05615234375,0.421875
mixtral,strict,9,0.0048828125,0.01611328125,-0.02197265625,0.0546875,0.3828125
mixtral,strict,10,0.0244140625,0.02294921875,-0.0126953125,0.05860595703124982,0.390625
