model,set,layer,disc_mean,val_mean,ci_lo,ci_hi,pos_frac
qwen3,paper,0,0.009521484375,0.01416015625,-0.01416015625,0.04395751953124982,0.3359375
qwen3,paper,1,0.012451171875,0.00244140625,-0.04736328125,0.0517578125,0.3359375
qwen3,paper,2,0.01904296875,0.01025390625,-0.03955078125,0.056640625,0.375
qwen3,paper,3,-0.037384033203125,-0.01123046875,-0.06201171875,0.03760986328124982,0.3671875
qwen3,paper,4,0.023681640625,0.021484375,-0.01708984375,0.06689453125,0.3046875
qwen3,paper,5,-0.0048828125,0.0224609375,-0.0146484375,0.05908203125,0.375
qwen3,paper,6,0.034423828125,0.01220703125,-0.025390625,0.05322265625,0.25
qwen3,paper,7,-0.012939453125,0.029296875,-0.01025390625,0.07080078125,0.3984375
qwen3,paper,8,0.027099609375,0.00537109375,-0.03955078125,0.0478515625,0.3828125
qwen3,paper,9,-0.009765625,0.00146484375,-0.03173828125,0.033203125,0.375
qwen3,paper,10,-0.017333984375,0.00830078125,-0.01953125,0.0361328125,0.3828125
qwen3,paper,11,0.013427734375,0.02685546875,-0.00634765625,0.0615234375,0.34375
qwen3,paper,12,0.018310546875,0.0224609375,-0.005859375,0.05224609375,0.3671875
qwen3,paper,13,0.0478515625,0.0263671875,-0.00537109375,0.0595703125,0.3984375
qwen3,paper,14,0.01025390625,0.0029296875,-0.0302734375,0.03662109375,0.390625
qwen3,paper,15,-0.005615234375,0.02294921875,-0.01318359375,0.06007080078124982,0.390625
qwen3,paper,16,0.020263671875,0.03857421875,0.00390625,0.07275390625,0.4296875
qwen3,paper,17,0.008544921875,-0.0048828125,-0.0341796875,0.02490234375,0.3515625
qwen3,paper,18,0.0654296875,0.04345703125,-0.00439453125,0.09423828125,0.46875
qwen3,paper,19,0.018310546875,0.01025390625,-0.02197265625,0.04345703125,0.3671875
qwen3,paper,20,-0.002685546875,-0.0361328125,-0.08203125,0.00634765625,0.3203125
qwen3,paper,21,0.01220703125,-0.0068359375,-0.0400390625,0.029296875,0.3125
qwen3,paper,22,-0.0126953125,-0.0166015625,-0.04638671875,0.01171875,0.3359375
qwen3,paper,23,-0.013671875,-0.02001953125,-0.04833984375,0.00732421875,0.265625
qwen3,paper,24,0.00341796875,-0.0009765625,-0.033203125,0.0302734375,0.3203125
qwen3,paper,25,-0.0126953125,0.02490234375,-0.012219238281249996,0.06202392578124982,0.4921875
qwen3,paper,26,0.033203125,0.0068359375,-0.021484375,0.03564453125,0.3515625
qwen3,paper,27,0.043701171875,0.03955078125,0.00244140625,0.0771484375,0.40625
qwen3,paper,28,0.17431640625,0.13818359375,0.09324951171875001,0.185546875,0.5625
qwen3,paper,29,0.055908203125,0.0341796875,-0.0009765625,0.06884765625,0.421875
qwen3,paper,30,0.031005859375,0.05029296875,-0.0029296875,0.10986328125,0.4296875
qwen3,paper,31,0.074951171875,0.041015625,-0.00634765625,0.09228515625,0.3984375
qwen3,paper,32,0.039794921875,0.0234375,-0.0185546875,0.06640625,0.3828125
qwen3,paper,33,0.10888671875,0.07666015625,0.03271484375,0.12159423828124982,0.5
qwen3,paper,34,0.072021484375,0.03369140625,-0.0048828125,0.07130126953124982,0.4140625
qwen3,paper,35,0.012939453125,0.013671875,-0.0166015625,0.04443359375,0.3671875
qwen3,paper,36,0.03955078125,0.01904296875,-0.025390625,0.06103515625,0.4609375
qwen3,paper,37,0.066162109375,0.05078125,0.00048828125,0.1025390625,0.484375
qwen3,paper,38,0.140625,0.10498046875,0.0634765625,0.14893798828124982,0.546875
qwen3,paper,39,0.097412109375,0.0517578125,0.00634765625,0.09620361328124982,0.453125
qwen3,paper,40,0.460693359375,0.41845703125,0.32470703125,0.5146484375,0.7109375
qwen3,paper,41,0.242431640625,0.28564453125,0.21826171875,0.35888671875,0.6796875
qwen3,paper,42,0.57275390625,0.62548828125,0.52001953125,0.73193359375,0.8515625
qwen3,paper,43,0.628662109375,0.619873046875,0.468487548828125,0.7846740722656249,0.765625
qwen3,paper,44,0.972900390625,0.94122314453125,0.77764892578125,1.1243331909179686,0.84375
qwen3,paper,45,-0.265869140625,-0.11174774169921875,-0.26806640625,0.03927726745605456,0.40625
qwen3,paper,46,-0.23193359375,-0.2041015625,-0.3056640625,-0.10107421875,0.328125
qwen3,paper,47,-0.19775390625,-0.130126953125,-0.287603759765625,0.028332519531249822,0.3671875
qwen3,strict,0,0.002197265625,0.0087890625,-0.01611328125,0.037109375,0.3046875
qwen3,strict,1,0.005126953125,0.01171875,-0.0283203125,0.05615234375,0.3203125
qwen3,strict,2,0.00341796875,0.01171875,-0.03564453125,0.056640625,0.359375
qwen3,strict,3,-0.060821533203125,-0.002685546875,-0.048834228515624994,0.04224243164062491,0.328125
qwen3,strict,4,-0.002197265625,0.0244140625,-0.0185546875,0.07227783203124982,0.28125
qwen3,strict,5,-0.00390625,0.0126953125,-0.0234375,0.05078125,0.3359375
qwen3,strict,6,0.004638671875,0.02294921875,-0.01416015625,0.06298828125,0.34375
qwen3,strict,7,0.001708984375,0.009765625,-0.02978515625,0.05126953125,0.3515625
qwen3,strict,8,-0.005126953125,0.0185546875,-0.0244140625,0.06005859375,0.375
qwen3,strict,9,0.001953125,-0.0048828125,-0.0380859375,0.0283203125,0.3671875
qwen3,strict,10,-0.013427734375,-0.00146484375,-0.037109375,0.03125,0.34375
qwen3,strict,11,0.016357421875,0.00830078125,-0.02783203125,0.04638671875,0.3515625
qwen3,strict,12,0.021728515625,0.00634765625,-0.02490234375,0.037109375,0.359375
qwen3,strict,13,-0.00146484375,0.0361328125,0.001953125,0.07177734375,0.3828125
qwen3,strict,14,0.00634765625,0.017578125,-0.0107421875,0.04737548828124982,0.3671875
qwen3,strict,15,-0.015869140625,0.0126953125,-0.022961425781249996,0.04833984375,0.3828125
qwen3,strict,16,0.012451171875,0.02685546875,-0.00537109375,0.05810546875,0.390625
qwen3,strict,17,-0.008056640625,0.013671875,-0.02099609375,0.04833984375,0.34375
qwen3,strict,18,0.03515625,0.060546875,-0.0014770507812499958,0.13380126953124982,0.4609375
qwen3,strict,19,0.005126953125,0.00634765625,-0.0302734375,0.04248046875,0.3515625
qwen3,strict,20,-0.011962890625,-0.033203125,-0.07958984375,0.00830078125,0.328125
qwen3,strict,21,0.03759765625,-0.01708984375,-0.0458984375,0.01171875,0.265625
qwen3,strict,22,0.0078125,-0.01611328125,-0.044921875,0.0126953125,0.34375
qwen3,strict,23,0.001953125,-0.0302734375,-0.05712890625,-0.00244140625,0.28125
qwen3,strict,24,0.01318359375,-0.00341796875,-0.033203125,0.02783203125,0.328125
