model,layer,disc_mean,val_mean,ci_lo,ci_hi,pos_frac
qwen3,0,-0.00048828125,0.0166015625,-0.010498046875,0.04736328125,0.359375
qwen3,1,0.00732421875,-0.010009765625,-0.07568359375,0.04833984375,0.3828125
qwen3,2,-0.01318359375,0.023193359375,-0.03515625,0.07421875,0.4375
qwen3,3,-0.012664794921875,0.03759765625,-0.021734619140624998,0.09228515625,0.484375
qwen3,4,0.026123046875,0.046630859375,0.0048828125,0.09326171875,0.4453125
qwen3,5,0.010009765625,0.03466796875,-0.005859375,0.07568359375,0.4140625
qwen3,6,0.063720703125,0.05029296875,0.0078125,0.0947265625,0.4375
qwen3,7,0.010009765625,0.02880859375,-0.015380859375,0.07349243164062491,0.5
qwen3,8,0.059814453125,0.03076171875,-0.011474609375,0.072265625,0.484375
qwen3,9,0.025146484375,0.019775390625,-0.01171875,0.052490234375,0.421875
qwen3,10,0.00537109375,0.009521484375,-0.017828369140624998,0.037109375,0.421875
qwen3,11,0.039306640625,0.043212890625,0.0087890625,0.080810546875,0.453125
qwen3,12,0.0107421875,0.029296875,-0.000244140625,0.060302734375,0.4375
qwen3,13,0.061767578125,0.038818359375,0.0,0.0810546875,0.4609375
qwen3,14,0.03515625,0.0068359375,-0.02001953125,0.0341796875,0.3203125
qwen3,15,0.0390625,0.040283203125,0.00341796875,0.07958984375,0.46875
qwen3,16,0.057373046875,0.06884765625,0.03857421875,0.10083618164062491,0.5625
qwen3,17,0.001708984375,0.010009765625,-0.022955322265624998,0.044677734375,0.40625
qwen3,18,0.08447265625,0.056884765625,0.006103515625,0.11279296875,0.4453125
qwen3,19,0.082275390625,-0.001953125,-0.0419921875,0.0380859375,0.421875
qwen3,20,0.022216796875,-0.0283203125,-0.067877197265625,0.010009765625,0.4140625
qwen3,21,0.014892578125,-0.00732421875,-0.040777587890624994,0.02490234375,0.421875
qwen3,22,0.00927734375,-0.00146484375,-0.032958984375,0.02881469726562491,0.4375
qwen3,23,0.013916015625,0.008056640625,-0.021728515625,0.037353515625,0.3984375
qwen3,24,0.00146484375,0.01513671875,-0.010748291015624998,0.041748046875,0.4375
qwen3,25,0.010009765625,0.034423828125,-0.00439453125,0.073974609375,0.5625
qwen3,26,0.044921875,0.022705078125,-0.0068359375,0.052001953125,0.421875
qwen3,27,0.038330078125,0.036376953125,0.004388427734375002,0.067626953125,0.5546875
qwen3,28,0.187255859375,0.137451171875,0.093499755859375,0.182373046875,0.6171875
qwen3,29,0.066162109375,0.059326171875,0.0234375,0.095458984375,0.4765625
qwen3,30,0.037109375,0.06787109375,0.01611328125,0.12255859375,0.53125
qwen3,31,0.094970703125,0.05224609375,-0.00146484375,0.10743408203124982,0.453125
qwen3,32,0.046142578125,0.020751953125,-0.02587890625,0.06665649414062491,0.5234375
qwen3,33,0.102783203125,0.09765625,0.056640625,0.140625,0.5625
qwen3,34,0.099365234375,0.05712890625,0.015625,0.09521484375,0.6015625
qwen3,35,0.036376953125,0.01220703125,-0.017333984375,0.0419921875,0.40625
qwen3,36,0.11279296875,0.012451171875,-0.031982421875,0.053955078125,0.4765625
qwen3,37,0.0845947265625,0.071044921875,0.009020996093750004,0.135498046875,0.578125
qwen3,38,0.141357421875,0.116943359375,0.07177734375,0.162109375,0.6015625
qwen3,39,0.124755859375,0.083251953125,0.035638427734375006,0.1303771972656249,0.5703125
qwen3,40,0.47119140625,0.4111328125,0.31932373046875,0.5048950195312498,0.7265625
qwen3,41,0.252685546875,0.268798828125,0.202630615234375,0.3376525878906249,0.6640625
qwen3,42,0.532470703125,0.58984375,0.490472412109375,0.6923889160156249,0.8671875
qwen3,43,0.5537109375,0.619140625,0.47679443359375,0.7673400878906249,0.8203125
qwen3,44,0.957275390625,0.923583984375,0.76513671875,1.095465087890625,0.875
qwen3,45,-0.307861328125,-0.0782928466796875,-0.2360095977783203,0.06599845886230463,0.421875
qwen3,46,-0.28076171875,-0.210693359375,-0.310546875,-0.1103515625,0.3515625
qwen3,47,-0.124267578125,0.045166015625,-0.11451416015624999,0.2094787597656249,0.4921875
