Relation,n,E006 rescue,E006 spec,Pos. frac.,Paper rescue,Paper spec,Paper pos.
P103,12,+0.095,+0.034,0.50,+0.312,+0.206,0.67
P17,11,+0.220,-0.220,0.36,+0.187,-0.272,0.09
P495,9,+0.104,-0.250,0.44,+0.094,-0.358,0.11
P136,9,+0.111,-0.396,0.22,+0.111,-0.562,0.11
P1412,9,+0.273,+0.002,0.89,+0.031,-0.076,0.33
P178,9,+0.000,-0.375,0.00,+0.000,-0.368,0.00
P740,9,-0.104,-0.243,0.11,+0.146,-0.167,0.56
P27,9,-0.007,-0.250,0.33,+0.049,-0.132,0.22
P106,7,+0.078,+0.065,0.57,+0.223,+0.179,0.71
P131,6,+0.151,-0.510,0.33,-0.016,-0.557,0.00
